block_id,street,barrio,tipo_c,traffic,n_lines_on,n_lines_walk,buses_hour_on,buses_hour_walk,score_n_lines_walk,score_buses_hour_walk
32351,LYNCH,Nueva Pompeya,CALLE,0.25,0,26,0.0,797.0,67.9,70.2
32352,LYNCH,Nueva Pompeya,CALLE,0.25,1,26,21.9,797.0,67.9,70.2
7282,SAN MARTIN,Retiro,CALLE,0.25,2,29,8.4,952.7,66.7,75.0
8648,"GRIERSON, CECILIA",,CALLE,0.25,2,32,0.0,800.9,66.7,70.6
8882,BOUCHARD,San Nicolas,CALLE,0.25,2,32,36.9,869.5,66.7,67.5
8922,25 DE MAYO,San Nicolas,CALLE,0.25,2,31,22.9,893.3,66.7,75.0
9160,BOUCHARD,San Nicolas,CALLE,0.25,2,30,36.9,871.9,66.7,67.5
9226,25 DE MAYO,San Nicolas,CALLE,0.25,2,33,22.9,952.7,66.7,75.0
9535,BOUCHARD,San Nicolas,CALLE,0.25,2,30,34.3,770.6,66.7,61.8
9854,BOUCHARD,San Nicolas,CALLE,0.25,2,28,13.1,774.4,66.7,67.5
11081,"PERON, JUAN DOMINGO, TTE. GENERAL",Balvanera,CALLE,0.25,2,31,43.8,971.9,66.7,61.5
11717,ECUADOR,Balvanera,CALLE,0.25,2,28,0.0,947.9,66.7,75.0
12362,LA RIOJA,Balvanera,CALLE,0.25,2,29,37.1,987.6,66.7,67.4
16088,PAVON,Constitucion,CALLE,0.25,2,35,37.7,1324.7,66.7,66.8
16107,PAVON,Constitucion,CALLE,0.25,2,32,37.7,1170.1,66.7,66.8
16364,SANTIAGO DEL ESTERO,Constitucion,CALLE,0.25,2,32,61.7,1139.2,66.7,45.7
16922,TACUARI,Barracas,CALLE,0.25,2,28,37.5,831.6,66.7,66.3
28055,SAN MARTIN,Retiro,CALLE,0.25,2,29,13.7,972.2,66.7,75.0
31816,SAN MARTIN,Retiro,CALLE,0.25,2,29,13.7,933.7,66.7,75.0
5270,GUEMES,Palermo,CALLE,0.25,0,25,0.0,965.0,64.3,75.0
5374,GUEMES,Palermo,CALLE,0.25,0,25,0.0,992.5,64.3,75.0
5456,"BORGES, JORGE LUIS",Palermo,CALLE,0.25,0,25,0.0,942.0,64.3,75.0
7890,"ROJAS, RICARDO, DR.",Retiro,CALLE,0.25,0,25,0.0,657.6,64.3,53.5
7906,"ROJAS, RICARDO, DR.",Retiro,CALLE,0.25,0,25,0.0,526.9,64.3,37.9
8257,"ALVEAR, MARCELO T. DE",Retiro,CALLE,0.25,0,25,0.0,724.2,64.3,61.5
8504,PARAGUAY,Retiro,CALLE,0.25,1,25,47.6,734.7,64.3,45.9
8534,CERRITO,Retiro,CALLE,0.25,0,25,0.0,773.8,64.3,67.4
8976,SAN MARTIN,San Nicolas,CALLE,0.25,0,25,0.0,537.8,64.3,39.2
9502,"OCAMPO, VICTORIA",Puerto Madero,CALLE,0.25,0,25,0.0,502.5,64.3,35.0
9550,"DELLEPIANE, LUIS",San Nicolas,PASAJE,0.0,0,18,0.0,463.0,64.3,55.3
9738,"PELLEGRINI, CARLOS",San Nicolas,CALLE,0.25,0,25,0.0,784.5,64.3,68.7
9756,CERRITO,San Nicolas,CALLE,0.25,0,25,0.0,796.9,64.3,70.1
9769,LAVALLE,San Nicolas,CALLE,0.25,0,25,0.0,791.6,64.3,69.5
9770,CERRITO,San Nicolas,CALLE,0.25,0,25,0.0,770.9,64.3,67.0
9935,SAN MARTIN,San Nicolas,CALLE,0.25,0,25,0.0,504.7,64.3,35.3
10032,SUIPACHA,San Nicolas,CALLE,0.25,0,25,0.0,708.6,64.3,59.6
10122,"PELLEGRINI, CARLOS",San Nicolas,CALLE,0.25,0,25,0.0,774.4,64.3,67.5
10210,RECONQUISTA,San Nicolas,CALLE,0.25,0,25,0.0,685.0,64.3,56.8
10378,CERRITO,San Nicolas,CALLE,0.25,0,25,0.0,770.9,64.3,67.0
10507,"PERON, JUAN DOMINGO, TTE. GENERAL",San Nicolas,CALLE,0.25,0,25,0.0,634.7,64.3,50.8
10529,PASO,Balvanera,CALLE,0.25,1,25,20.0,801.8,64.3,70.7
10600,"PERON, JUAN DOMINGO, TTE. GENERAL",San Nicolas,CALLE,0.25,0,25,0.0,582.0,64.3,44.5
10601,ESMERALDA,San Nicolas,CALLE,0.25,0,25,0.0,582.0,64.3,44.5
10650,"PERON, JUAN DOMINGO, TTE. GENERAL",San Nicolas,CALLE,0.25,0,25,0.0,732.2,64.3,62.4
10664,"PERON, JUAN DOMINGO, TTE. GENERAL",San Nicolas,CALLE,0.25,0,25,0.0,740.7,64.3,63.4
10927,25 DE MAYO,San Nicolas,CALLE,0.25,0,25,0.0,597.3,64.3,46.3
10929,"MITRE, BARTOLOME",San Nicolas,CALLE,0.25,1,25,12.0,870.4,64.3,75.0
11182,SUIPACHA,San Nicolas,CALLE,0.25,0,25,0.0,831.9,64.3,74.3
11650,BALCARCE,Monserrat,CALLE,0.25,1,25,0.0,713.1,64.3,60.1
12036,MORENO,Monserrat,CALLE,0.25,0,25,0.0,680.3,64.3,56.2
12290,MISIONES,Balvanera,CALLE,0.25,0,25,0.0,872.1,64.3,75.0
12336,DEFENSA,Monserrat,CALLE,0.25,0,25,0.0,671.7,64.3,55.2
12824,LUCERO,Almagro,PASAJE,0.0,0,18,0.0,389.5,64.3,46.5
15010,BURGOS,Caballito,PASAJE,0.0,0,18,0.0,556.4,64.3,66.4
15011,CORONDA,Caballito,PASAJE,0.0,0,18,0.0,556.4,64.3,66.4
15178,CORONDA,Caballito,PASAJE,0.0,0,18,0.0,556.4,64.3,66.4
16889,"CEVALLOS, VIRREY",Constitucion,CALLE,0.25,0,25,0.0,669.1,64.3,54.9
17211,"ECHAGUE, PEDRO",Constitucion,CALLE,0.25,0,25,0.0,647.9,64.3,52.4
23604,"OCHOA, ENRIQUE",Nueva Pompeya,CALLE,0.25,0,25,0.0,650.8,64.3,52.7
23843,"VEGA, VENTURA DE LA",Nueva Pompeya,CALLE,0.25,0,25,0.0,750.8,64.3,64.6
23950,"VEGA, VENTURA DE LA",Nueva Pompeya,CALLE,0.25,0,25,0.0,750.8,64.3,64.6
23971,ROMERO,Nueva Pompeya,CALLE,0.25,0,25,0.0,750.8,64.3,64.6
24126,"COLMO, ALFREDO",Nueva Pompeya,PASAJE,0.0,0,18,0.0,548.6,64.3,65.5
24184,"COLMO, ALFREDO",Nueva Pompeya,PASAJE,0.0,0,18,0.0,548.6,64.3,65.5
27844,URIARTE,Palermo,CALLE,0.25,1,25,13.3,920.7,64.3,75.0
27872,FLORIDA,Retiro,CALLE,0.25,0,25,0.0,506.6,64.3,35.5
28918,PARAGUAY,Retiro,CALLE,0.25,1,25,47.6,776.3,64.3,50.8
30247,PASAJE ROJAS (NO OFICIAL),Caballito,PASAJE,0.0,0,18,0.0,556.4,64.3,66.4
30248,ROJAS,Caballito,PASAJE,0.0,0,18,0.0,556.4,64.3,66.4
10754,SARMIENTO,Balvanera,CALLE,0.25,2,27,39.5,813.6,63.1,62.4
10997,PASO,Balvanera,CALLE,0.25,2,27,44.0,891.0,63.1,61.3
11099,"PERON, JUAN DOMINGO, TTE. GENERAL",Balvanera,CALLE,0.25,2,27,43.8,698.1,63.1,44.8
12361,"ALSINA, ADOLFO",Balvanera,CALLE,0.25,2,27,28.0,859.8,63.1,75.0
23671,ROMERO,Nueva Pompeya,CALLE,0.25,2,27,3.8,803.4,63.1,70.9
32324,TRAFUL,Nueva Pompeya,CALLE,0.25,2,27,16.4,797.5,63.1,70.2
14790,SAN IRENEO,Caballito,PASAJE,0.0,1,22,13.3,690.3,61.9,70.7
2226,"MOM, POLICARPO",Belgrano,PASAJE PEATONAL,0.0,0,17,0.0,747.3,60.7,89.2
4463,GODOY CRUZ,Palermo,CALLE,0.25,1,24,23.6,973.0,60.7,75.0
4653,GODOY CRUZ,Palermo,CALLE,0.25,1,24,31.1,973.0,60.7,72.6
