block_id,lines
1794,041 169
1796,042
1797,114
1798,114
1801,110
1804,071
1806,076
1807,071
1809,110
1811,071
1816,107 114
1821,151
1822,044 060 063 065 080 113 114
1828,008 033 034 037 045 160 166
1829,015 029 042
1834,041 093
1835,107 114
1837,114
1838,114
1841,067
1844,041 169
1849,041 071 093
1852,019
1854,110
1855,110
1857,114
1860,071
1861,071
1865,042 044 060 063 065 080 113 114
1870,037 160 166
1874,114
1875,107 114
1876,029 041 059 060 068 133 152 161 168 184
1877,044 060 063 065 080 113 114
1878,114
1879,037 130 160
1883,110
1884,019
1885,019
1888,029 044 060 063 065 080 113 114
1891,041 093
1892,107 114
1894,041 169
1896,114
1897,114
1899,076
1901,151
1903,076
1904,019
1905,067
1906,071
1907,041 071 093
1909,071
1916,110
1918,029 060
1919,029 060
1925,019
1926,067
1927,019
1929,107 114 133
1933,029 044 060 063 065 080 113 114
1934,114
1936,015 029 055 060 064 118
1937,071
1943,107 114 133
1945,071
1946,041 093
1947,071
1948,071
1949,114
1950,114
1954,037 130 160
1958,041 169
1959,019 067
1963,110
1964,067
1965,029 041 059 060 068 152 161
1969,019 041 169
1971,151
1974,107 114 133
1977,076
1980,029 044 060 063 065 080 113 114
1981,114
1982,071
1983,110
1984,071
1985,071
1987,015 029 044 055 060 064 118
1990,076
1993,107 114 133
2001,067
2007,067
2012,110
2013,067
2015,041 169
2016,019
2019,071 110
2025,071
2026,041 071 093
2030,071 110
2032,071
2033,107 114 133
2037,029 044 060 063 065 080 113 114
2038,114
2045,019
2046,107 114 133
2047,151
2048,044
2051,071 110
2052,067
2053,029 041 059 060 067 068 152 161
2055,015 029 055 060 064 118
2058,067
2063,071
2065,067
2069,071
2070,041 071 093
2071,071 110
2072,110
2077,071
2078,071
2079,041 169
2080,076
2085,076
2086,107 114 133
2089,071
2092,029 044 060 063 065 080 113
2093,067
2097,019
2099,037 130 160
2100,107 114 133
2102,044
2106,067
2109,067
2114,029 060 113
2116,071
2117,071
2121,042 064
2122,071
2124,071 110
2125,067
2127,041 169
2130,071
2138,019
2143,107 114 133
2144,151
2147,015 029 055 060 118
2149,071
2151,034 037 130 160
2152,029 060 113
2153,029 057 059 060 067 152 194
2158,076
2162,042 064
2165,044
2170,042 064
2171,071
2172,041 071 093
2173,107 114 133
2174,067
2176,067
2177,067
2178,071
2188,107 114 133
2190,071
2191,041 169
2192,076
2193,067
2195,042
2200,044 063 065 067 080 113
2201,071
2203,071 110
2209,019
2214,042 064
2217,107
2221,113
2224,041 093
2225,044 063 065 067 080 113
2228,041 093
2230,071
2231,110
2232,044
2237,019
2240,067
2242,107 114 133
2243,067 107 114 128 133 160
2246,041 169
2249,015 029 055 060 118
2252,067
2253,151
2254,071
2261,107 114 133
2264,071
2267,044 063 065 067 080 113
2268,059 067 152
2274,076 107
2276,042
2278,042
2280,041 093
2284,041 093
2287,071
2289,113
2294,107
2295,076
2296,044
2301,067
2304,071
2305,041 169
2310,019
2313,067
2314,067
2317,064 130
2322,067
2325,041 093
2326,071
2330,107
2331,107
2332,113
2336,015 029 055 060 118
2337,042
2339,113
2341,107 114 133
2342,019
2344,015 029 055 060 118
2349,044
