block_id,street,barrio,tipo_c,red_jerarq,length_m,n_shapes,buses_hour,buses_hour_n,buses_hour_d,lines_gtfs,lines,n_lines
3536,CORREGIDORES,Colegiales,PASAJE,VÍA LOCAL,104.1,0,0,0,0,,,0
3537,DEL LIBERTADOR AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,55.0,8,63.2,38.5,33.5,010 034 037 130,010 034 037 130,4
3538,DE LOS INCAS AV.,Belgrano,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,87.8,7,72.9,28.5,29.2,044 065 080 151,044 065 080 151,4
3539,CONDE,Belgrano,CALLE,VÍA LOCAL,82.9,0,0,0,0,,,0
3540,TRONADOR,Villa Urquiza,CALLE,VÍA LOCAL,59.4,0,0,0,0,,,0
3541,"SAVIO, MANUEL N., GRAL.",Palermo,CALLE,VÍA LOCAL,41.1,0,0,0,0,,,0
3542,"ALVAREZ PRADO, MANUEL",Villa Pueyrredon,CALLE,VÍA LOCAL,61.7,0,0,0,0,,127,1
3543,IBERA,Villa Urquiza,CALLE,VÍA LOCAL,117.1,0,0,0,0,,,0
3544,ACHEGA,Villa Urquiza,CALLE,VÍA LOCAL,133.0,0,0,0,0,,,0
3545,"ARGUIBEL, ANDRES",Palermo,CALLE,VÍA LOCAL,117.5,0,0,0,0,,,0
3546,BAEZ,Palermo,CALLE,VÍA LOCAL,116.9,0,0,0,0,,,0
3547,"CHENAUT, INDALESIO, GRAL. AV.",Palermo,AVENIDA,VÍA LOCAL,59.1,0,0,0,0,,,0
3548,"CAMPOS, LUIS M. AV.",Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,96.0,78,333.4,171.1,194.3,015 029 055 059 060 064 118,015 029 055 059 060 064 118,7
3549,ECHEVERRIA,Villa Urquiza,CALLE,VÍA LOCAL,104.3,0,0,0,0,,,0
3550,PLAZA,Villa Urquiza,CALLE,VÍA LOCAL,33.4,0,0,0,0,,,0
3551,MARTIRES PALOTINOS,Villa Urquiza,CALLE,VÍA LOCAL,42.0,0,0,0,0,,,0
3552,CABILDO AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,119.6,48,309.8,116.3,113.7,041 057 060 067 068 152 161 194,041 057 060 067 068 152 161 194,8
3554,CRAMER,Colegiales,CALLE,VÍA LOCAL,109.0,0,0,0,0,,,0
3555,"RIVERA, PEDRO I., DR.",Villa Urquiza,CALLE,VÍA DISTRIBUIDORA PRINCIPAL,75.0,14,61.3,33.1,32.8,071 112 127 140 176,071 112 127 140 176,5
3556,BAUNESS,Villa Urquiza,CALLE,VÍA DISTRIBUIDORA PRINCIPAL,99.9,14,59.0,34.8,31.5,071 112 140 175 176,071 112 140 169 175 176,6
3557,BLANCO ENCALADA,Villa Urquiza,CALLE,VÍA LOCAL,159.9,0,0,0,0,,,0
3558,ALVAREZ THOMAS AV.,Villa Urquiza,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,108.7,11,29.9,18.8,16.0,090 140 176,090 140 176,3
3559,CONGRESO AV.,Villa Urquiza,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,119.9,6,33.6,19.0,14.7,140 169,140 169,2
3560,BURELA,Villa Urquiza,CALLE,VÍA LOCAL,128.5,0,0,0,0,,,0
3561,OLAZABAL AV.,Villa Urquiza,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,104.5,9,30.4,14.0,22.3,114 133 140,114 133 140,3
3562,MILLER,Villa Urquiza,CALLE,VÍA LOCAL,123.4,0,0,0,0,,,0
3563,QUESADA,Villa Urquiza,CALLE,VÍA LOCAL,83.2,0,0,0,0,,,0
3564,LAVOISIER,Villa Urquiza,CALLE,VÍA LOCAL,146.5,0,0,0,0,,,0
3565,"TAMBORINI, JOSE PASCUAL",Villa Urquiza,CALLE,VÍA LOCAL,123.1,1,8.0,4.0,5.0,112,112,1
3566,DE LOS CONSTITUYENTES AV.,,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,128.0,16,72.5,39.8,42.4,110 111 140,110 111 140 169,4
3567,IRAOLA AV.,Palermo,AVENIDA,VÍA LOCAL,37.3,0,0,0,0,,,0
3568,"MONTT, PEDRO, PRES. AV.",Palermo,AVENIDA,VÍA LOCAL,472.7,0,0,0,0,,,0
3569,SIN NOMBRE OFICIAL (ALT. EDISON 2700),Recoleta,CALLE,VÍA LOCAL,557.4,0,0,0,0,,,0
3571,MOLDES,Colegiales,CALLE,VÍA LOCAL,92.9,0,0,0,0,,,0
3572,JURAMENTO,Villa Urquiza,CALLE,VÍA LOCAL,106.1,0,0,0,0,,,0
3573,DONADO,Villa Urquiza,CALLE,VÍA LOCAL,121.4,0,0,0,0,,,0
3574,ECHEVERRIA,Villa Urquiza,CALLE,VÍA LOCAL,38.7,0,0,0,0,,,0
3575,MARTIRES PALOTINOS,Villa Urquiza,CALLE,VÍA LOCAL,29.0,0,0,0,0,,,0
3576,AREVALO,Palermo,CALLE,VÍA LOCAL,117.2,0,0,0,0,,,0
3577,HUERGO,Palermo,CALLE,VÍA LOCAL,113.5,0,0,0,0,,,0
3578,LA PAMPA,,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,80.2,4,26.4,15.3,11.3,076 113,076 113,2
3579,"NAON, ROMULO",,CALLE,VÍA LOCAL,121.5,4,24.6,17.5,5.5,076,076,1
3580,IRAOLA AV.,Palermo,AVENIDA,VÍA LOCAL,199.5,0,0,0,0,,,0
3582,DEL LIBERTADOR AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,85.5,8,63.2,38.5,33.5,010 034 037 130,010 034 037 130,4
3583,CULLEN,Villa Urquiza,CALLE,VÍA LOCAL,145.8,2,7.5,5.7,2.7,140 175,140 175,2
