l_r_s,linea,coverage,gtfs_shape_id
091BIDA,91,1.0000,1840
091CVUELTA,91,0.9810,16341
091CIDA,91,0.9829,16340
092AVUELTA,92,0.9574,3011
092AIDA,92,0.9560,3010
092BIDA,92,0.8000,3010
092BVUELTA,92,0.8125,3011
092CVUELTA,92,0.9559,17311
092DIDA,92,0.9767,3010
092CIDA,92,0.9375,17310
095AIDA,95,0.9692,3560
093AIDA,93,0.9600,2210
093AVUELTA,93,0.9574,2211
093BVUELTA,93,0.9560,2221
093BIDA,93,0.9592,2220
093CVUELTA,93,0.9306,2231
159IIDA,159,0.8214,5770
093CIDA,93,0.9306,2220
159HIDA,159,0.7000,5740
095BVUELTA,95,1.0000,3571
096AHIDA,96,1.0000,17970
096AIDA,96,1.0000,2240
096AAIDA,96,1.0000,17910
096AAVUELTA,96,0.9886,17911
096ABVUELTA,96,0.9419,17921
096ABIDA,96,0.9855,17920
096ACVUELTA,96,0.9861,17931
096ACIDA,96,1.0000,17930
096ADIDA,96,1.0000,17940
096ADVUELTA,96,0.9873,17941
096AEIDA,96,0.9857,17950
096AEVUELTA,96,0.9877,17951
096AFVUELTA,96,1.0000,17961
096AFIDA,96,0.9565,17960
096AGVUELTA,96,0.9901,17971
096AGIDA,96,1.0000,17970
096AHVUELTA,96,0.9848,17981
096TIDA,96,1.0000,17840
096BVUELTA,96,1.0000,2251
096BIDA,96,1.0000,2250
096CIDA,96,1.0000,2260
096CVUELTA,96,1.0000,2261
096DIDA,96,1.0000,2270
096DVUELTA,96,1.0000,2271
096FIDA,96,0.9804,2290
096FVUELTA,96,1.0000,2291
096EVUELTA,96,1.0000,2281
096EIDA,96,1.0000,2280
096GIDA,96,1.0000,2300
096GVUELTA,96,1.0000,2301
096HIDA,96,1.0000,2310
096HVUELTA,96,1.0000,2311
096IIDA,96,1.0000,2320
096IVUELTA,96,1.0000,2321
096JVUELTA,96,0.9512,2241
096JIDA,96,1.0000,2240
096KIDA,96,1.0000,17740
096KVUELTA,96,1.0000,17741
096LVUELTA,96,1.0000,17751
159HVUELTA,159,0.7093,5741
096LIDA,96,1.0000,2260
159FIDA,159,0.7955,5760
096MIDA,96,1.0000,17760
096TVUELTA,96,1.0000,17751
096MVUELTA,96,1.0000,2271
096UVUELTA,96,1.0000,2271
096NIDA,96,1.0000,2280
096NVUELTA,96,1.0000,17771
096NNIDA,96,0.9767,2290
096NNVUELTA,96,1.0000,2291
096OIDA,96,1.0000,2300
096OVUELTA,96,1.0000,2301
096PVUELTA,96,1.0000,2311
096PIDA,96,1.0000,17800
159FVUELTA,159,0.8200,5761
096QIDA,96,1.0000,2320
096UIDA,96,1.0000,17940
096QVUELTA,96,1.0000,17811
159AIDA,159,0.9570,5790
096RVUELTA,96,0.9452,2241
158AIDA,158,0.7619,1960
096RIDA,96,1.0000,2240
158AVUELTA,158,0.8750,1961
096SVUELTA,96,1.0000,17741
096YIDA,96,1.0000,17890
096SIDA,96,1.0000,17830
096YVUELTA,96,1.0000,2311
096VVUELTA,96,1.0000,17771
101AVUELTA,101,1.0000,441
096VIDA,96,1.0000,2280
102AVUELTA,102,0.8095,3581
096WVUELTA,96,1.0000,2291
096ZIDA,96,1.0000,2320
096WIDA,96,0.9706,17870
096ZVUELTA,96,1.0000,17811
096XIDA,96,1.0000,2300
102AIDA,102,0.7879,3580
096XVUELTA,96,1.0000,17881
102BVUELTA,102,0.7576,3581
097AVUELTA,97,0.8000,2331
097AIDA,97,0.8515,2330
098AVUELTA,98,1.0000,2361
102BIDA,102,0.7083,3580
098AIDA,98,0.9722,2360
154AVUELTA,154,0.9394,2601
098BIDA,98,0.9706,2370
098BVUELTA,98,1.0000,2371
154AIDA,154,0.9474,2600
098CVUELTA,98,1.0000,2381
098CIDA,98,1.0000,2380
098DVUELTA,98,1.0000,2391
098DIDA,98,1.0000,2390
098EIDA,98,1.0000,2400
098EVUELTA,98,1.0000,2401
098FIDA,98,1.0000,2410
098FVUELTA,98,1.0000,2411
100AIDA,100,0.8625,1360
105BVUELTA,105,1.0000,2441
100AVUELTA,100,0.7901,1361
100BIDA,100,0.8551,1390
105BIDA,105,0.9821,2440
100BVUELTA,100,0.7875,1391
103BVUELTA,103,0.9737,6391
100CIDA,100,0.9014,1380
100CVUELTA,100,0.9872,1381
101AIDA,101,0.9420,440
109AVUELTA,109,1.0000,15941
101BIDA,101,0.9213,450
101BVUELTA,101,0.9268,451
103AVUELTA,103,0.9792,2421
109AIDA,109,0.9250,15940
103AIDA,103,0.7973,2420
105AVUELTA,105,1.0000,2431
109BVUELTA,109,1.0000,15941
105AIDA,105,0.9839,2430
109BIDA,109,0.9250,15940
106AVUELTA,106,1.0000,1131
107AVUELTA,107,0.9286,1021
107AIDA,107,0.9412,18010
110BIDA,110,0.8929,1160
107BIDA,107,0.9412,18010
110BVUELTA,110,0.9000,1161
107BVUELTA,107,0.9333,18011
103BIDA,103,0.7377,6390
111DVUELTA,111,1.0000,1891
108AIDA,108,0.9178,1030
108AVUELTA,108,0.9630,1031
110AVUELTA,110,1.0000,1151
111DIDA,111,0.9661,1890
110AIDA,110,0.9701,1150
111AVUELTA,111,1.0000,1861
111AIDA,111,0.9787,1900
111BIDA,111,0.9765,1910
111BVUELTA,111,1.0000,1911
111CIDA,111,0.9787,1900
111CVUELTA,111,1.0000,1901
111EIDA,111,0.9706,1900
111EVUELTA,111,1.0000,1911
111FVUELTA,111,1.0000,1871
111FIDA,111,0.9706,1900
103CVUELTA,103,1.0000,6401
113AVUELTA,113,0.9348,1401
103CIDA,103,1.0000,2420
113AIDA,113,0.9787,1400
176NNVUELTA,176,0.9771,18181
113BVUELTA,113,0.9318,1411
176CVUELTA,176,0.9903,18181
113BIDA,113,0.9535,1410
176BIDA,176,0.9528,18050
176BVUELTA,176,0.9286,18051
114AIDA,114,0.8723,43620
114AVUELTA,114,0.9359,43611
114BVUELTA,114,0.9444,43621
114BIDA,114,0.8966,43620
114CIDA,114,0.9155,43620
174CVUELTA,174,0.7778,36971
114CVUELTA,114,0.9565,43631
174CIDA,174,0.8214,36970
176MVUELTA,176,0.9865,18161
176MIDA,176,1.0000,18080
176NVUELTA,176,0.9867,18171
176NIDA,176,1.0000,18170
176JIDA,176,1.0000,18130
176JVUELTA,176,0.9726,18131
176IIDA,176,1.0000,18180
174BVUELTA,174,0.8511,36961
176IVUELTA,176,0.9818,18151
174BIDA,174,0.9211,36960
176HVUELTA,176,0.9615,18111
176HIDA,176,1.0000,18110
